p,proj_class,raw_label,j5,b_p,abs_a_p,a_p_exact,Re_a_p,Im_a_p,chi_p_exact,Re_chi,Im_chi
2,5A/5B,3,1,-1,1/phi,-zeta10^1*1/phi,-0.5,-0.363271264,zeta5^1,0.3090169944,0.9510565163
3,2A,1,3,0,0,0,0,0,zeta5^3,-0.8090169944,-0.5877852523
5,5A/5B,3,1,1,1/phi,+zeta10^1*1/phi,0.5,0.363271264,zeta5^1,0.3090169944,0.9510565163
7,5A/5B,3,2,1,1/phi,+zeta10^2*1/phi,0.1909830056,0.5877852523,zeta5^2,-0.8090169944,0.5877852523
11,3A,2,3,-1,1,-zeta10^3,0.3090169944,-0.9510565163,zeta5^3,-0.8090169944,-0.5877852523
13,5B/5A,4,0,-1,phi,-zeta10^0*phi,-1.618033989,0,zeta5^0,1,0
17,2A,1,1,0,0,0,0,0,zeta5^1,0.3090169944,0.9510565163
19,2A,1,4,0,0,0,0,0,zeta5^4,0.3090169944,-0.9510565163
23,3A,2,0,-1,1,-zeta10^0,-1,0,zeta5^0,1,0
29,2A,1,2,0,0,0,0,0,zeta5^2,-0.8090169944,0.5877852523
31,3A,2,3,-1,1,-zeta10^3,0.3090169944,-0.9510565163,zeta5^3,-0.8090169944,-0.5877852523
37,5B/5A,4,3,-1,phi,-zeta10^3*phi,0.5,-1.538841769,zeta5^3,-0.8090169944,-0.5877852523
41,3A,2,4,1,1,+zeta10^4,-0.8090169944,0.5877852523,zeta5^4,0.3090169944,-0.9510565163
43,3A,2,3,-1,1,-zeta10^3,0.3090169944,-0.9510565163,zeta5^3,-0.8090169944,-0.5877852523
47,5A/5B,3,4,-1,1/phi,-zeta10^4*1/phi,0.5,-0.363271264,zeta5^4,0.3090169944,-0.9510565163
53,3A,2,1,1,1,+zeta10^1,0.8090169944,0.5877852523,zeta5^1,0.3090169944,0.9510565163
59,2A,1,3,0,0,0,0,0,zeta5^3,-0.8090169944,-0.5877852523
61,5B/5A,4,1,1,phi,+zeta10^1*phi,1.309016994,0.9510565163,zeta5^1,0.3090169944,0.9510565163
67,3A,2,3,-1,1,-zeta10^3,0.3090169944,-0.9510565163,zeta5^3,-0.8090169944,-0.5877852523
71,5A/5B,3,3,-1,1/phi,-zeta10^3*1/phi,0.1909830056,-0.5877852523,zeta5^3,-0.8090169944,-0.5877852523
73,5B/5A,4,4,-1,phi,-zeta10^4*phi,1.309016994,-0.9510565163,zeta5^4,0.3090169944,-0.9510565163
79,3A,2,4,-1,1,-zeta10^4,0.8090169944,-0.5877852523,zeta5^4,0.3090169944,-0.9510565163
83,2A,1,0,0,0,0,0,0,zeta5^0,1,0
89,5B/5A,4,0,1,phi,+zeta10^0*phi,1.618033989,0,zeta5^0,1,0
97,3A,2,3,-1,1,-zeta10^3,0.3090169944,-0.9510565163,zeta5^3,-0.8090169944,-0.5877852523
101,3A,2,3,1,1,+zeta10^3,-0.3090169944,0.9510565163,zeta5^3,-0.8090169944,-0.5877852523
103,3A,2,4,1,1,+zeta10^4,-0.8090169944,0.5877852523,zeta5^4,0.3090169944,-0.9510565163
107,2A,1,2,0,0,0,0,0,zeta5^2,-0.8090169944,0.5877852523
109,3A,2,0,1,1,+zeta10^0,1,0,zeta5^0,1,0
113,5B/5A,4,0,-1,phi,-zeta10^0*phi,-1.618033989,0,zeta5^0,1,0
127,5B/5A,4,1,-1,phi,-zeta10^1*phi,-1.309016994,-0.9510565163,zeta5^1,0.3090169944,0.9510565163
131,3A,2,3,-1,1,-zeta10^3,0.3090169944,-0.9510565163,zeta5^3,-0.8090169944,-0.5877852523
137,5A/5B,3,0,1,1/phi,+zeta10^0*1/phi,0.6180339888,0,zeta5^0,1,0
139,5A/5B,3,1,1,1/phi,+zeta10^1*1/phi,0.5,0.363271264,zeta5^1,0.3090169944,0.9510565163
149,2A,1,1,0,0,0,0,0,zeta5^1,0.3090169944,0.9510565163
151,5A/5B,3,1,-1,1/phi,-zeta10^1*1/phi,-0.5,-0.363271264,zeta5^1,0.3090169944,0.9510565163
157,3A,2,4,1,1,+zeta10^4,-0.8090169944,0.5877852523,zeta5^4,0.3090169944,-0.9510565163
163,2A,1,4,0,0,0,0,0,zeta5^4,0.3090169944,-0.9510565163
167,2A,1,0,0,0,0,0,0,zeta5^0,1,0
173,5A/5B,3,1,-1,1/phi,-zeta10^1*1/phi,-0.5,-0.363271264,zeta5^1,0.3090169944,0.9510565163
179,3A,2,2,-1,1,-zeta10^2,-0.3090169944,-0.9510565163,zeta5^2,-0.8090169944,0.5877852523
181,5A/5B,3,3,1,1/phi,+zeta10^3*1/phi,-0.1909830056,0.5877852523,zeta5^3,-0.8090169944,-0.5877852523
191,2A,1,1,0,0,0,0,0,zeta5^1,0.3090169944,0.9510565163
193,5B/5A,4,4,1,phi,+zeta10^4*phi,-1.309016994,0.9510565163,zeta5^4,0.3090169944,-0.9510565163
197,5B/5A,4,3,-1,phi,-zeta10^3*phi,0.5,-1.538841769,zeta5^3,-0.8090169944,-0.5877852523
199,2A,1,4,0,0,0,0,0,zeta5^4,0.3090169944,-0.9510565163
211,2A,1,1,0,0,0,0,0,zeta5^1,0.3090169944,0.9510565163
223,3A,2,3,-1,1,-zeta10^3,0.3090169944,-0.9510565163,zeta5^3,-0.8090169944,-0.5877852523
227,5A/5B,3,4,-1,1/phi,-zeta10^4*1/phi,0.5,-0.363271264,zeta5^4,0.3090169944,-0.9510565163
229,5B/5A,4,4,1,phi,+zeta10^4*phi,-1.309016994,0.9510565163,zeta5^4,0.3090169944,-0.9510565163
233,5A/5B,3,4,1,1/phi,+zeta10^4*1/phi,-0.5,0.363271264,zeta5^4,0.3090169944,-0.9510565163
239,5B/5A,4,1,1,phi,+zeta10^1*phi,1.309016994,0.9510565163,zeta5^1,0.3090169944,0.9510565163
241,3A,2,3,-1,1,-zeta10^3,0.3090169944,-0.9510565163,zeta5^3,-0.8090169944,-0.5877852523
251,5A/5B,3,3,-1,1/phi,-zeta10^3*1/phi,0.1909830056,-0.5877852523,zeta5^3,-0.8090169944,-0.5877852523
